FPR;Precision
0.346;0.004
0.346;0.004
0.345;0.004
0.345;0.004
0.345;0.004
0.345;0.004
0.345;0.004
0.345;0.004
0.345;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.344;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.343;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.342;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.341;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.34;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.339;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.338;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.337;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.336;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.335;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.334;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.333;0.004
0.332;0.004
0.332;0.004
0.332;0.004
0.332;0.004
0.332;0.004
0.332;0.004
0.332;0.004
0.332;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.331;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.33;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.329;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.328;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.327;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.326;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.325;0.004
0.324;0.004
0.324;0.004
